138,Stuart St  Boston  MA  02116,42.3497975,-71.0712083,2116
139,Sunset Hill Rd  Roslindale  MA  02132,42.2904046,-71.1446633,2132
140,Talbot Ave  Dorchester  MA  02124,42.2901961,-71.0716014,2124
141,Tenean St  Dorchester  MA  02122,42.2918553,-71.0448409,2122
142,Terrace St  Mission Hill  MA  02120,42.329072,-71.0978509,2120
143,Tremont St  Mission Hill  MA  02120,42.3325743,-71.1003054,2120
144,Union Ave  Jamaica Plain  MA  02130,42.3088143,-71.1066889,2130
145,Utica St  Boston  MA  02111,42.3508107,-71.0580817,2111
146,VFW Pkwy  West Roxbury  MA  02132,42.2828482,-71.1715346,2132
147,Vallaro Rd  Hyde Park  MA  02136,42.2416006,-71.1407503,2136
148,Vine St  Charlestown  MA  02129,42.37677,-71.0561701,2129
149,W Fourth St  South Boston  MA  02127,42.3392296,-71.0534009,None
150,W Milton St  Hyde Park  MA  02136,42.2395005,-71.1396319,2136
151,Walnut Rd  West Roxbury  MA  02132,42.2643098,-71.1611471,2132
152,Washington St  Jamaica Plain  MA  02130,42.3064797,-71.1074803,2130
153,Washington St  Roxbury  MA  02118,42.3397417,-71.0722923,2118
154,Washington St  Roxbury  MA  02119,42.3140845,-71.0999882,2119
155,Washington St  West Roxbury  MA  02132,42.2662678,-71.1515706,2132
156,West Roxbury Pkwy  Roslindale  MA  02131,42.2802956,-71.1437304,2131
157,West St  Hyde Park  MA  02136,42.2629646,-71.1250262,2136
158,Wheatland Ave  Dorchester  MA  02124,42.2930999,-71.0749861,2124
159,William T Morrissey Blvd  Dorchester  MA  02122,42.2940181,-71.0472418,2122
160,Woodhaven St  Mattapan  MA  02126,42.2721839,-71.0964848,2126
161,Woodrow Ave  Dorchester  MA  02124,42.2880087,-71.0778539,2124
162,Worcester St  Roxbury  MA  02118,42.3394152,-71.0779964,2118
163,1 Ball St  Roxbury  MA  02120,42.3336336,-71.0808828,2119
164,1 Blaine St  Allston  MA  02134,42.3564864,-71.1376076,2134
165,1 Charles St  Boston  MA  02108,42.3564175,-71.0694344,2114
166,1 City Hall Plz  Boston  MA  02108,42.360331,-71.057996,2108
167,1 Marcella St  Roxbury  MA  02119,42.3209498,-71.0930998,2119
168,1 Nottingham St  Dorchester  MA  02121,42.30047,-71.073182,2121
169,1 Parish St  Dorchester  MA  02122,42.308294,-71.061005,2122
170,19 Kerr Pl  Mission Hill  MA  02120,42.3339565,-71.0847425,2120
171,25 Fenno St  Roxbury  MA  02119,42.3223153,-71.0840266,2119
172,3 Maple Leaf Dr  Hyde Park  MA  02136,42.2490566,-71.1406095,2136
173,5 Woodrow Ave  Dorchester  MA  02124,42.2882359,-71.0780681,2124
174,8 Creek Sq  Boston  MA  02109,42.3949587,-71.1113383,2144
175,9 A St  South Boston  MA  02127,42.3407788,-71.056448,2127
176,10 Bowdoin St  Boston  MA  02114,42.3607583,-71.062671,2114
177,10 Edgewater Dr  Mattapan  MA  02126,42.266423,-71.095177,2126
178,10 Tremont St  Boston  MA  02108,42.3589799,-71.0595439,2108
179,10 Utica St  Boston  MA  02111,42.351289,-71.057864,2169
180,10 Valentine St  Roxbury  MA  02119,42.322162,-71.092457,2119
181,10 Vining St  Boston  MA  02115,42.334984,-71.1092406,2115
182,65 Paul Sullivan Way  Roxbury  MA  02118,42.3426132,-71.0643898,2118
183,73 High St  Boston  MA  02110,42.3538685,-71.0551892,2110
184,100 Nashua St  Boston  MA  02114,42.366617,-71.065257,2114
185,100 Parker Hill Ave  Mission Hill  MA  02120,42.3305437,-71.1077458,2120
186,100 Summer St  Boston  MA  02110,42.3538104,-71.057391,2110
187,110 Gibson St  Dorchester  MA  02122,42.298888,-71.055886,2122
188,101 North St  Boston  MA  02109,42.361318,-71.054302,2109
189,102 Shirley St  Roxbury  MA  02119,42.3250381,-71.0691548,2119
190,1029 Tremont St  Mission Hill  MA  02120,42.33681,-71.085354,2120
191,103 Boardman St  East Boston  MA  02128,42.3898046,-71.0112187,2128
192,103 Charter St  Boston  MA  02113,42.3680189,-71.0561335,2113
193,107 W Cottage St  Roxbury  MA  02119,42.3206522,-71.0770792,2119
194,111 Call St  Jamaica Plain  MA  02130,42.3065418,-71.1109294,2130
195,106 Boston St  Dorchester  MA  02125,42.3259611,-71.0586138,2125
196,106 Woodrow Ave  Dorchester  MA  02124,42.287132,-71.082799,2124
197,1067 Tremont St  Mission Hill  MA  02120,42.336312,-71.086482,2120
198,107 Dorchester Ave  South Boston  MA  02127,42.3430347,-71.0571965,2127
199,108H Tremont St  Mission Hill  MA  02120,42.3325743,-71.1003054,2120
200,109 Mount Pleasant Ave  Roxbury  MA  02119,42.3249113,-71.0773127,2119
201,11 Norfolk Ave  Roxbury  MA  02119,42.3287139,-71.074688,2119
202,11 Thomas St  Jamaica Plain  MA  02130,42.31112,-71.115204,2130
203,14 Saint George St  Roxbury  MA  02118,42.338661,-71.0719794,2118
204,97 N Beacon St  Brighton  MA  02135,42.355026,-71.142663,2135
205,110 Intervale St  Dorchester  MA  02121,42.3103502,-71.0766271,2121
206,110 Stuart St  Boston  MA  02116,42.3509321,-71.0653685,2116
207,1115 Tremont St  Boston  MA  02115,42.3358609,-71.0876932,2120
208,112 D St  South Boston  MA  02127,42.3355459,-71.054903,2127
209,112 Intervale St  Dorchester  MA  02121,42.3103197,-71.076538,2121
210,113 Salem St  Boston  MA  02113,42.3643104,-71.0554052,2113
211,115 Spring St  West Roxbury  MA  02132,42.277162,-71.165532,2132
212,116 Auckland St  Dorchester  MA  02125,42.310647,-71.056399,2125
213,121 A St  South Boston  MA  02127,42.3433547,-71.0537265,2127
214,13 Thacher St  Boston  MA  02113,42.3653927,-71.0569471,2113
215,12 Parmenter St  Boston  MA  02113,42.363688,-71.054856,2113
216,120 Kingston St  Boston  MA  02111,42.3522427,-71.0590384,2111
217,120 Normandy St  Dorchester  MA  02121,42.308534,-71.080091,2121
218,120 Tremont St  Boston  MA  02108,42.3569472,-71.0612353,2108
219,124A Hampden St  Roxbury  MA  02119,42.3287441,-71.0747638,2119
220,121 E Cottage St  Dorchester  MA  02125,42.320898,-71.064897,2125
221,1218 VFW Pkwy  West Roxbury  MA  02132,42.2789235,-71.170962,2132
222,123 W Fourth St  South Boston  MA  02127,42.340808,-71.056225,2127
223,124 Highland St  Roxbury  MA  02119,42.3258238,-71.0932098,2119
